	description	C(Status)_p	C(Status)_q	EVR	Status_fc	_GSM545818_H_0	_GSM545819_H_0	_GSM545820_H_0	_GSM545821_H_0	_GSM545822_H_0	_GSM545823_H_0	_GSM545824_H_0	_GSM545825_H_0	_GSM545826_H_0	_GSM545827_H_0	_GSM545828_H_0	_GSM545829_H_0	_GSM545830_H_0	_GSM545831_H_0	_GSM545832_H_0	_GSM545833_M_0	_GSM545834_M_0	_GSM545835_M_0	_GSM545836_M_0	_GSM545837_M_0	_GSM545838_M_0	_GSM545839_M_0	_GSM545840_M_0	_GSM545841_M_0	_GSM545842_M_0	_GSM545843_M_0	_GSM545844_M_0	_GSM545845_M_0	_GSM545846_M_0
R-HSA-8951911	RUNX3 regulates RUNX1-mediated transcription,3	0.08863014766987146	0.03147702248736542	0.9155411328090283	-0.36701020919310967	0.4106249963057624	-0.8269331001401914	-0.13736055944141917	0.9195574361728818	0.27268438022083247	0.0933164865544685	0.42701999024740206	0.5413775185974873	0.3370658988905054	0.5526057483506414	-0.49760179693903267	0.3745193343617231	0.014214374000279409	0.14579559074291323	-0.11562966714499315	-0.011048990984036857	-0.9141225599092603	0.12466779761285647	-0.6458855231381764	-0.9150196047315623	-1.328927793983858	-0.424128826572447	-0.405703141461587	0.4798525280188217	0.46381437024235883	0.5590675405232415	0.5589286423607644	0.0030319897425742644	-0.055783058499027045
R-HSA-8939242	RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,7	0.42385416994396474	0.1256231720947144	0.42356482562196796	-0.16267104142960248	-0.667038089778193	0.1646586522689324	-0.2777742514981593	0.0783890305717846	0.041491068829502244	-0.3876025463087389	0.5329747308939278	1.140211890628254	-0.6013943168942331	-0.10219609317746736	-0.020225776155385795	1.084259344285384	0.22915943302813438	-0.05049846446514774	-0.05143464444268054	0.23032545083741982	-0.8322535520944313	-0.29888354359684566	-1.2491241779232871	-0.2614006193654897	0.14568576647315026	0.611764686922879	-0.39876516812666374	0.1665360221987645	0.3214739702157461	-0.0005578587446436701	-0.011706580143176243	0.3332386426196943	0.13068699294099187
R-HSA-5619055	Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI),1	0.3870533543277068	0.11717192841493944	1.0	0.020537481775082498	3.104336659814736	3.0874628412503395	3.104336659814736	3.104336659814736	3.0874628412503395	3.1210154009613658	3.104336659814736	3.1210154009613658	3.104336659814736	3.104336659814736	3.137503523749935	3.263034405833794	3.137503523749935	3.104336659814736	3.104336659814736	3.4195388915137843	3.104336659814736	3.1858665453113337	3.104336659814736	3.169925001442312	3.104336659814736	3.1210154009613658	3.104336659814736	3.104336659814736	3.137503523749935	3.104336659814736	3.104336659814736	3.104336659814736	3.104336659814736
R-HSA-140179	Amine Oxidase reactions,3	0.36087329226632003	0.11029762854599238	0.8823313987303513	0.14131281576616633	0.07804777838615769	-0.988100266642328	-0.1825404522804718	0.33043770204380957	-0.618132217377836	0.06860501118321638	-0.28131739401975747	-0.2225154623517865	-0.8710018625339185	0.07859812886066811	0.148436138970655	0.59589340615161	0.47856156333449557	0.4346895788539924	-0.07770272588330913	0.27542268186715935	0.0884200817229534	0.3739463059415653	0.0014933928599202232	0.08239654927657983	-0.631225756534566	0.06642562228412262	-0.07987886584689427	0.3863088210070374	-0.4682708007615065	0.6874555070278938	0.08636112929063156	0.08113862678373848	0.07804777838615769
R-HSA-204005	COPII-mediated vesicle transport,56	7.576140666169918e-08	1.1467553528116103e-07	0.30629096052653265	1.98103807710032	-1.487082278450693	-1.2069770165260914	-0.23754790574838858	-1.5957507997718976	-1.6604909980945506	-0.7486657006464595	-0.6312137340148196	-0.6198489560674962	-1.2011220901896247	-0.7468157403048078	-1.1883734386038618	-0.6569238276351177	-0.6367043725510309	-0.536225203018152	-1.4270489561585498	0.6230471791281217	1.5617268596057416	0.22360704343627885	0.39962350067303243	2.152989458533427	2.195405948355585	-0.17162427873909233	2.628426400980626	2.0270208761753965	-0.38100676998422534	0.4230011841924446	1.54762270288762	0.4135660052623257	0.937384907274185
R-HSA-174430	Telomere C-strand synthesis initiation,6	0.000418789266616933	0.00021805544938851125	0.5785623064600225	0.6711425450190674	-0.27465137656206395	-0.4721822409430913	-0.5102172396400217	-0.5494489147717373	-0.44557481769382173	-0.04154041537368354	-0.04446168944456731	0.034210582007082456	-0.4248565260714064	-0.29985244779203846	-0.26116726863830275	-0.11022362454165396	-0.7424820428704	-0.2648795859175315	-0.5813404137603813	0.5245709369189286	0.727242648617026	0.46554357986591355	1.7089868362261083	1.0142542205636045	0.9711561253159015	0.5326807656853166	0.36132780184400504	-0.30293778366468443	-0.14097576139516857	-0.3641831191712582	-0.05532623178518038	-0.47603847194937904	0.022366474942539197
R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1,16	0.3084538340338964	0.09569591175565473	0.32613595311128385	-0.15804280951853333	-0.31994540430712054	0.8633475423623218	-0.4035980920424256	0.19687880568450353	-0.16541624850402306	0.7244921145837689	0.28363905436191916	0.13111046227532172	0.18133902602253452	-0.1656741783672133	0.038711374896082874	-0.4754227592159542	0.013333099952628134	0.14754947023842546	0.11191079737798582	0.45179810156161865	0.24713831177885642	-0.9045275438293081	0.34183318204766244	-0.789254136195989	0.26957260209542544	0.11124726716972064	-0.3069837162262649	-0.04738333871716197	0.34915589538075165	0.006354911830702716	-0.29266469772746706	0.1738799459773702	-0.7724218504646614
R-HSA-5654726	Negative regulation of FGFR1 signaling,29	4.03796229005074e-05	2.4352057145309216e-05	0.3469038199268349	-0.9110412400599782	-0.23182214275406673	1.0339754522245954	-0.4443584702729837	0.24946221792963275	0.057741051777466156	0.8740675085424998	0.7597330164079082	0.33657778564399704	0.2820809814851083	0.42790617093496597	0.46537045928638954	0.564458262886234	0.1938126573720364	1.0676025918066083	1.4813622742989772	-0.6953280940464386	-0.4717842480689361	-0.02960948956732886	-0.7690579982643792	-1.0092914771760102	-1.2853998370903965	-0.14121678801641432	-1.2998782292603264	-1.0260220329292222	0.04549243691355637	0.3753809385407222	0.10050857200562352	0.07804640999774387	-0.9898099806075747
R-HSA-69560	Transcriptional activation of p53 responsive genes  ,4	0.6822070762677027	0.18722103071004542	0.6516744878580487	0.050390378646681104	-0.08611449988193257	-0.4821351205222929	0.034733853903591176	0.07553601116353771	-0.029877273541373588	-0.1349448896054956	-0.14317793501075463	0.029733584910345466	0.27070595456191604	-0.049070755423836585	-0.19345284998471257	0.5755202115811934	-0.2982361749185198	0.21934933147087374	-0.2826041984586165	0.14498583819408215	-0.2150653447108247	-0.25643641470300566	-0.8698574176228229	0.7645939522464356	-0.17249690187831238	-0.9177765185160142	0.7991014527755753	0.7074640131614822	-0.6200872409157681	-0.03422222427610483	0.5033923968484758	0.16539776255739505	0.49504139659543733
R-HSA-5658471	Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A),1	0.18397772982438534	0.06050124377035847	1.0	0.016824341982879305	2.0356239097307207	2.0356239097307207	2.070389327891398	2.0356239097307207	2.0356239097307207	2.070389327891398	2.0356239097307207	2.070389327891398	2.0356239097307207	2.0356239097307207	2.0356239097307207	2.0356239097307207	2.104336659814736	2.0356239097307207	2.0356239097307207	2.0356239097307207	2.0356239097307207	2.070389327891398	2.104336659814736	2.0356239097307207	2.2016338611696504	2.070389327891398	2.0356239097307207	2.0356239097307207	2.070389327891398	2.0356239097307207	2.0356239097307207	2.070389327891398	2.070389327891398
